학과,경쟁률,교과총점,등급,추합,년도
국어국문학과,5.888888889,97.9326,2.800311,9,2018
중어중문학과,5.333333333,98.089866,2.901277,5,2018
일어일문학과,7,98.48069,2.51911,4,2018
영어영문학과,6.8,98.702021,2.297742,16,2018
불어불문학과,6.818181818,95.883833,3.930366,4,2018
독어독문학과,7.083333333,97.750645,3.2338,6,2018
노어노문학과,7.625,97.590116,2.8662,5,2018
한문학과,10.42857143,97.4207,3.46445,2,2018
언어정보학과,7.125,98.511175,2.488587,5,2018
사학과,6.714285714,98.640671,2.359071,5,2018
철학과,6.625,95.40084,3.8782,0,2018
고고학과,6.571428571,97.911414,3.0883,3,2018
국어국문학과,12,98.63617,2.800311,7,2019
중어중문학과,13.5,98.73052,2.901277,4,2019
일어일문학과,10.21428571,98.332385,2.51911,8,2019
영어영문학과,11.8,98.7959,2.297742,30,2019
불어불문학과,24.5,98.102091,3.930366,5,2019
독어독문학과,19.33333333,98.223577,3.2338,4,2019
노어노문학과,14.6,98.47189,2.8662,5,2019
한문학과,14,98.038633,3.46445,6,2019
언어정보학과,9.375,97.984816,2.488587,3,2019
사학과,7.5,98.648875,2.359071,7,2019
철학과,21.6,98.278,3.8782,5,2019
고고학과,11.85714286,98.3037,3.0883,9,2019
국어국문학과,6.91,98.51,2.48,12,2020
중어중문학과,12.5,97.47,3.1,4,2020
일어일문학과,7.6,98.03,2.97,6,2020
영어영문학과,6.2,97,3.57,6,2020
불어불문학과,8.22,98.21,2.79,4,2020
독어독문학과,8.17,97.39,3.02,4,2020
노어노문학과,7.8,97.89,3.1,4,2020
한문학과,9.11,93.89,3.92,1,2020
언어정보학과,8.7,98.39,2.61,8,2020
사학과,11.63,98.26,2.74,6,2020
철학과,9.13,96.86,3.14,0,2020
고고학과,9.57,96.15,4.22,2,2020
국어국문학과,8.82,98.62,2.37,11,2021
중어중문학과,7.92,97.93,3.05,9,2021
일어일문학과,7.57,98.16,2.84,11,2021
영어영문학과,11.13,99.03,1.97,15,2021
불어불문학과,15.92,98.43,2.57,11,2021
독어독문학과,11.92,98.24,2.76,15,2021
노어노문학과,9.9,98.42,2.58,6,2021
한문학과,9.44,97.43,3.37,4,2021
언어정보학과,11.44,98.35,2.65,4,2021
사학과,8.38,98.29,2.69,0,2021
철학과,11.67,98.09,2.85,8,2021
고고학과,8.56,98.31,2.69,2,2021
